Id,Street_name,Street_number,District,Sq_mt_built,Sq_mt_useful,N_rooms,N_bathrooms,N_floors,Price,Has_parking_included,Built_year
17690,Calle Menorca,,5492.17 €/m2) - District 14: Retiro,120,110,3,2,,680000,NO,1/1/1950
17684,Calle del Alcalde Sáinz de Baranda,,5492.17 €/m2) - District 14: Retiro,119,112,4,2,,535000,YES,1/1/1946
17683,Calle José Martínez de Velasco,,4246.58 €/m2) - District 14: Retiro,142,130,5,2,,580000,YES,1/1/1961
17682,Narciso Serra,,4105.12 €/m2) - District 14: Retiro,74,66,3,1,,290000,NO,1/1/1965
17681,Calle Julián Gayarre,,4105.12 €/m2) - District 14: Retiro,145,120,3,2,,600000,NO,1/1/1935
17679,Calle Julián Gayarre,,4105.12 €/m2) - District 14: Retiro,140,130,3,2,,569000,NO,1/1/1935
17678,Calle de Cavanilles,,4105.12 €/m2) - District 14: Retiro,131,,3,2,,580000,YES,1/1/1975
17676,Paseo de la Reina Cristina,15,6739.32 €/m2) - District 14: Retiro,165,125,5,2,,620000,NO,1/1/1977
17673,Calle del Doctor Esquerdo,184,4105.12 €/m2) - District 14: Retiro,97,,3,2,,480000,NO,1/1/1984
17672,Calle Agustín Querol. Madrid,,6739.32 €/m2) - District 14: Retiro,115,80,3,2,,345000,NO,1/1/1945
17670,Calle del Marqués de Lozoya,,4246.58 €/m2) - District 14: Retiro,139,114,3,2,,580000,YES,1/1/1981
17664,Paseo de la Reina Cristina,17,6739.32 €/m2) - District 14: Retiro,153,125,3,2,,556000,YES,1/1/1977
17661,ibiza,52,5492.17 €/m2) - District 14: Retiro,132,,4,2,,650000,NO,1/1/1956
17659,Calle del Doctor Castelo,,5492.17 €/m2) - District 14: Retiro,131,115,4,2,,620000,NO,1/1/1945
17658,Calle del Doctor Castelo,,5492.17 €/m2) - District 14: Retiro,131,115,4,2,,620000,NO,1/1/1945
17638,Calle del Alcalde Sáinz de Baranda,,5492.17 €/m2) - District 14: Retiro,118,109,3,2,,575000,NO,1/1/1946
17637,Calle de Fernán Gonzalez,,5492.17 €/m2) - District 14: Retiro,126,,3,2,,557000,NO,1/1/1953
17636,Calle Del Marqués de Lozoya,,4246.58 €/m2) - District 14: Retiro,158,140,4,2,,680000,YES,1/1/1984
17634,Calle Andrés Torrejón,24,6739.32 €/m2) - District 14: Retiro,192,144,4,3,,650000,YES,1/1/1970
17632,Calle Sirio,,4246.58 €/m2) - District 14: Retiro,179,165,4,3,,660000,YES,1/1/1976
17631,Calle Portal De Belen,,6739.32 €/m2) - District 14: Retiro,126,100,4,2,,550000,NO,1/1/1956
17628,Calle de Narciso Serra,,4105.12 €/m2) - District 14: Retiro,67,,3,1,,340000,NO,1/1/1979
17627,Calle del Marqués de Lozoya,12,4246.58 €/m2) - District 14: Retiro,140,,3,2,,580000,YES,1/1/1981
17624,Calle Regalada,,4105.12 €/m2) - District 14: Retiro,30,25,1,1,,142000,NO,1/1/1914
17617,Calle del Marqués de Lozoya,,4246.58 €/m2) - District 14: Retiro,139,,3,2,,580000,YES,1/1/1981
17608,Avenida de Menéndez Pelayo,111,4105.12 €/m2) - District 14: Retiro,91,73,2,2,,375000,NO,1/1/1940
17606,Calle Alcalde Sáinz de Baranda,43,5492.17 €/m2) - District 14: Retiro,105,,3,2,,550000,YES,1/1/1956
17602,Calle Sirio,,4246.58 €/m2) - District 14: Retiro,146,,4,3,,549000,YES,1/1/1982
17601,Calle Alfonso XII,,6739.32 €/m2) - District 14: Retiro,395,,4,4,,3200000,YES,1/1/2018
17600,Calle de Sánchez Barcáiztegui,,4105.12 €/m2) - District 14: Retiro,120,,2,2,,485000,YES,1/1/1968
17599,Calle de Lope de Rueda,,5492.17 €/m2) - District 14: Retiro,61,60,2,1,,380000,NO,1/1/1918
17597,Avenida de la Ciudad de Barcelona,,4105.12 €/m2) - District 14: Retiro,85,76,2,1,,305000,NO,1/1/1910
17595,Calle O'Donell,46,5492.17 €/m2) - District 14: Retiro,200,175,3,2,,950000,YES,1/1/1969
